claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
14,50,F,1.0,91,39127,0,1,Own,50051,12/20/2016,Tuesday,Local,2,0.0,2,Broker,0,2912.010859,7.0,Compact,21008.06659,silver,22378.53122,1
15,60,M,1.0,87,40952,0,0,Rent,85045,5/29/2015,Friday,Parking Lot,0,0.0,6,Phone,1,3763.181467,9.0,Large,14919.32333,blue,23559.61005,0
16,44,F,1.0,74,37843,1,0,Own,85077,3/5/2016,Saturday,Local,0,0.0,92,Phone,0,2803.191057,6.0,Large,14596.97683,red,33996.39463,0
17,51,M,0.0,85,39315,0,1,Own,20128,5/12/2016,Thursday,Local,1,0.0,35,Phone,1,3244.000621,5.0,Compact,30487.73911,blue,22430.12473,1
18,53,M,1.0,67,39692,0,1,Own,85069,9/4/2015,Friday,Parking Lot,0,1.0,44,Broker,0,6752.853806,8.0,Compact,23115.139,silver,20724.08223,0
19,45,M,1.0,89,38062,1,1,Rent,20138,5/24/2016,Tuesday,Parking Lot,0,0.0,54,Broker,1,7345.346590000001,4.0,Large,15052.70405,other,7220.213186,0
20,46,M,1.0,51,38289,0,1,Rent,85077,2/18/2015,Wednesday,Local,0,1.0,0,Phone,1,3291.280834,6.0,Large,13988.672730000002,white,17776.49932,0
21,40,M,1.0,83,36888,1,0,Own,20152,8/14/2016,Sunday,Local,0,0.0,65,Broker,1,4960.458759,4.0,Compact,6461.085257,other,14566.4089,0
22,46,F,0.0,96,38276,0,0,Own,80005,8/18/2016,Thursday,Parking Lot,1,0.0,76,Broker,0,6749.306847,2.0,Large,17694.4688,gray,29718.29462,0
23,23,F,0.0,35,31353,1,0,Own,20104,12/15/2016,Thursday,Local,0,0.0,29,Broker,0,2037.107817,3.0,Large,29969.474110000003,white,25280.32416,0
24,46,M,1.0,55,38282,1,0,Rent,50054,2/15/2015,Sunday,Local,1,0.0,50,Phone,1,4939.96461,11.0,Medium,19084.30095,silver,24702.76727,0
25,49,M,0.0,75,38919,0,1,Own,80106,11/23/2015,Monday,Local,0,0.0,76,Phone,0,12603.11132,3.0,Medium,30265.74579,other,6940.198848999999,0
26,51,M,1.0,64,39322,0,1,Rent,20122,9/17/2015,Thursday,Local,0,0.0,74,Broker,0,5870.168543,4.0,Medium,19273.46408,other,19281.05141,0
27,32,M,1.0,89,34643,1,0,Own,85064,10/12/2016,Wednesday,Local,1,0.0,19,Broker,1,5344.126061999999,5.0,Medium,13757.630830000002,gray,28126.57105,0
28,47,M,1.0,73,38512,0,0,Own,85005,5/6/2016,Friday,Local,0,0.0,6,Phone,1,9302.569883,7.0,Large,43087.11898,silver,8325.864920999999,0
29,76,M,0.0,82,43311,1,1,Own,15025,3/2/2016,Wednesday,Highway,1,1.0,25,Broker,1,4339.717575,6.0,Large,14711.983,blue,10757.99396,0
30,43,M,1.0,55,37606,1,1,Own,15010,10/1/2016,Saturday,Local,0,0.0,49,Broker,1,3364.999889,7.0,Large,20290.52195,red,41748.55575,1
31,35,M,1.0,96,35547,1,0,Own,15021,5/26/2015,Tuesday,Local,0,0.0,81,Broker,0,3444.315844,3.0,Medium,12856.71255,white,17375.79497,0
32,33,M,0.0,71,34968,1,0,Own,15009,6/10/2016,Friday,Highway,0,0.0,82,Phone,1,7823.709017,5.0,Large,19422.45891,silver,11642.759059999998,0
33,64,M,1.0,75,41581,0,1,Own,20109,4/12/2015,Sunday,Parking Lot,0,0.0,22,Broker,0,2778.539378,7.0,Medium,18908.21677,other,36256.1456,1
34,37,M,0.0,78,36102,1,0,Own,20134,10/7/2015,Wednesday,Local,0,1.0,94,Broker,0,12275.79321,3.0,Medium,24940.77876,white,18399.859330000003,0
35,27,F,0.0,81,32953,0,1,Own,15015,3/26/2015,Thursday,Parking Lot,0,1.0,60,Phone,1,7654.494618000001,5.0,Compact,28197.99638,white,20231.11788,0
36,51,F,1.0,88,39325,1,1,Rent,50012,4/24/2015,Friday,Parking Lot,0,1.0,86,Broker,1,6539.467821,7.0,Medium,10754.22191,black,26751.44606,0
37,42,F,0.0,91,37380,1,0,Own,80109,10/29/2015,Thursday,Parking Lot,0,0.0,39,Broker,1,3575.2889130000003,3.0,Medium,14207.84971,red,31522.64465,0
38,52,M,1.0,85,39503,1,1,Own,20165,12/23/2015,Wednesday,Local,0,0.0,99,Phone,1,9343.902436,2.0,Large,16426.336069999998,white,13388.76231,0
39,52,M,1.0,52,39504,1,0,Rent,20147,10/1/2016,Saturday,Local,0,0.0,92,Broker,0,5247.696852,5.0,Large,30039.3786,blue,35715.90602,0
40,33,M,1.0,93,34961,1,1,Own,80003,3/12/2015,Thursday,Parking Lot,6,0.0,40,Phone,1,5329.448776,10.0,Medium,5424.742190999999,other,15764.60469,0
41,36,M,0.0,53,35847,1,1,Rent,80020,10/25/2016,Tuesday,Highway,0,0.0,3,Phone,0,4988.940509,4.0,Large,20001.76182,silver,16450.25964,0
42,55,M,1.0,83,40075,1,0,Own,80002,12/15/2016,Thursday,Highway,0,1.0,100,Phone,0,10959.21107,8.0,Medium,54401.78947999999,black,23466.72888,0
43,42,M,1.0,75,37372,1,0,Rent,20156,6/25/2015,Thursday,Parking Lot,3,1.0,18,Phone,1,4848.686197,3.0,Medium,4056.298636,red,12753.89258,0
44,23,M,1.0,47,31354,1,0,Rent,85077,12/26/2015,Saturday,Local,0,0.0,36,Phone,1,3534.216755,6.0,Compact,30754.04215,blue,14828.620680000002,0
45,46,F,1.0,76,38298,1,1,Rent,85036,7/3/2016,Sunday,Local,1,0.0,1,Phone,1,3655.971992,9.0,Compact,12852.01424,blue,14459.124630000002,0
46,43,M,1.0,74,37627,0,1,Rent,80011,1/8/2016,Friday,Highway,1,1.0,100,Phone,1,7898.682164,2.0,Large,30406.17915,red,15312.6034,1
47,53,M,0.0,68,39696,1,0,Own,15021,7/30/2016,Saturday,Highway,2,0.0,85,Phone,1,3754.58105,4.0,Compact,19408.75013,white,33771.22517,0
48,27,M,1.0,78,32962,1,0,Rent,80011,8/24/2016,Wednesday,Local,6,0.0,99,Broker,1,3445.728353,6.0,Large,44539.02072,gray,22832.94681,0
49,33,M,0.0,80,34981,1,0,Rent,80027,5/12/2015,Tuesday,Local,0,0.0,90,Phone,1,4425.348221,6.0,Compact,26775.16484,silver,16526.114419999998,0
50,40,M,1.0,83,36884,0,1,Rent,50047,10/27/2016,Thursday,Local,0,0.0,99,Broker,0,7975.514648,5.0,Large,20002.71929,silver,18366.51516,0
51,40,F,1.0,75,36884,0,1,Own,20119,1/17/2016,Sunday,Local,2,0.0,57,Broker,0,3114.4662350000003,4.0,Medium,19095.9564,white,25114.9897,1
52,36,F,1.0,75,35839,1,0,Own,80031,6/8/2015,Monday,Parking Lot,0,0.0,0,Phone,0,10159.2442,3.0,Large,10886.04077,white,23050.340330000003,0
53,38,F,1.0,86,36364,1,1,Rent,50022,2/4/2015,Wednesday,Local,0,0.0,5,Broker,1,13607.39007,6.0,Large,29505.62852,gray,63064.77084,0
54,40,M,0.0,62,36875,0,1,Own,80109,12/7/2015,Monday,Local,0,0.0,100,Broker,0,4452.863067,5.0,Medium,14322.010580000002,black,5854.8454280000005,1
55,55,F,1.0,62,40087,1,1,Rent,15033,12/12/2016,Monday,Parking Lot,0,0.0,40,Broker,1,7379.757692,5.0,Compact,21446.66343,red,18234.97796,0
56,65,M,1.0,87,41749,1,0,Rent,50057,12/11/2016,Sunday,Local,0,0.0,63,Broker,0,7163.515969,6.0,Large,31347.35412,gray,7255.849488,0
57,35,F,1.0,74,35549,0,0,Own,85078,10/5/2016,Wednesday,Local,0,0.0,35,Broker,0,3102.145658,11.0,Medium,20942.57379,red,10582.78916,1
58,26,M,1.0,69,32592,1,0,Rent,15012,12/23/2015,Wednesday,Local,0,1.0,65,Broker,1,6978.820633,10.0,Large,18610.97589,black,23607.37803,0
59,58,M,1.0,18,40597,1,1,Rent,20141,12/28/2015,Monday,Local,1,0.0,28,Phone,1,7691.648061,7.0,Large,23616.7801,gray,36116.08503,0
60,44,F,1.0,72,37843,1,1,Rent,50042,8/22/2016,Monday,Local,1,0.0,0,Broker,1,4298.854893,0.0,Compact,28961.11775,gray,41266.34791,0
61,38,F,1.0,82,36371,1,1,Rent,80030,5/25/2016,Wednesday,Parking Lot,3,0.0,72,Broker,1,4162.683646,3.0,Large,14011.0245,white,8135.902303,1
62,45,M,1.0,86,38054,1,0,Rent,85022,4/11/2015,Saturday,Local,1,1.0,19,Broker,1,2471.254973,5.0,Compact,15152.4641,gray,26778.35214,0
63,48,M,0.0,95,38721,0,0,Own,15009,2/13/2016,Saturday,Local,0,0.0,98,Online,1,3398.999751,9.0,Medium,22735.31181,black,10530.05357,1
64,64,F,1.0,87,41566,0,1,Own,15059,9/4/2015,Friday,Parking Lot,1,1.0,50,Phone,1,7475.901534999999,3.0,Large,20231.72363,other,27015.87981,0
65,50,F,1.0,49,39117,0,0,Rent,20104,11/4/2016,Friday,Local,3,0.0,4,Broker,1,2567.854691,4.0,Compact,30461.58093,white,19333.06131,0
66,59,M,0.0,83,40784,0,0,Own,50042,8/24/2016,Wednesday,Parking Lot,0,0.0,77,Broker,0,2486.316786,6.0,Compact,19032.20022,red,7794.963521,0
67,57,M,1.0,89,40423,1,0,Rent,20140,3/24/2015,Tuesday,Local,1,1.0,13,Phone,1,6209.698387,3.0,Medium,9775.599556,white,17922.51598,0
68,45,M,0.0,85,38067,0,1,Rent,15055,8/24/2016,Wednesday,Local,0,0.0,91,Broker,0,5572.926312,3.0,Compact,14051.58545,black,13574.93567,0
69,38,F,1.0,75,36377,0,1,Own,20148,3/8/2016,Tuesday,Highway,0,0.0,52,Broker,0,6337.590666,1.0,Medium,14637.06598,other,18627.5183,0
70,40,F,1.0,89,36883,0,1,Own,85074,2/3/2015,Tuesday,Local,0,1.0,79,Phone,1,6316.545216,7.0,Medium,31462.505910000003,black,12020.58612,0
71,30,M,0.0,64,33991,1,1,Own,20120,7/14/2015,Tuesday,Highway,0,0.0,46,Online,0,3917.873257,8.0,Compact,39495.23991,gray,25574.55985,1
72,26,F,1.0,64,32569,1,1,Own,50055,1/13/2015,Tuesday,Parking Lot,0,0.0,50,Phone,1,4425.688361,3.0,Large,18823.51583,other,20649.8508,0
73,40,M,1.0,82,36875,1,1,Rent,20106,7/23/2015,Thursday,Parking Lot,0,0.0,65,Online,1,3601.412519,7.0,Compact,28175.815130000003,black,25771.75307,1
74,35,F,1.0,91,35560,0,1,Own,20119,8/22/2015,Saturday,Local,0,0.0,91,Broker,1,7737.407464,8.0,Large,14070.08991,black,10047.84325,0
75,47,F,0.0,67,38510,1,1,Own,80012,5/28/2015,Thursday,Local,0,0.0,68,Broker,0,4801.139386,6.0,Compact,8034.054897,gray,47064.45519,1
76,36,F,1.0,71,35844,0,1,Rent,50021,5/26/2016,Thursday,Highway,0,0.0,49,Broker,0,4969.770764,6.0,Medium,7385.803368000001,blue,24021.88679,0
77,67,F,1.0,68,42078,0,1,Own,15059,3/4/2015,Wednesday,Parking Lot,0,0.0,94,Broker,0,2370.461372,4.0,Large,20310.62592,gray,11118.24557,0
78,48,M,1.0,51,38701,1,1,Rent,50013,7/14/2016,Thursday,Local,0,0.0,93,Phone,1,4288.363697,4.0,Medium,35102.53667,white,11038.16847,0
79,37,M,1.0,84,36111,0,1,Own,20136,4/10/2015,Friday,Local,0,0.0,0,Broker,1,4568.452914,9.0,Medium,8836.948209,white,7498.402623000001,0
80,41,F,0.0,71,37122,0,0,Rent,20118,6/8/2016,Wednesday,Local,0,0.0,41,Broker,0,3850.065422,3.0,Medium,26869.17143,red,25396.14585,0
81,45,F,1.0,91,38073,0,1,Own,50050,11/14/2015,Saturday,Highway,0,0.0,97,Phone,1,11453.13787,2.0,Compact,49104.61593,blue,7963.383334,0
82,52,F,1.0,72,39503,1,1,Own,80011,1/17/2015,Saturday,Highway,0,0.0,50,Broker,0,2755.7927600000003,5.0,Medium,14251.53368,black,6022.986565,0
83,32,F,1.0,85,34658,1,1,Own,80016,8/17/2015,Monday,Highway,3,0.0,89,Broker,1,3346.477226,4.0,Compact,14318.0243,white,20264.20881,0
84,35,F,1.0,44,35542,1,0,Rent,80030,6/8/2016,Wednesday,Local,0,0.0,44,Phone,0,1865.298786,5.0,Large,11815.50455,black,30191.570860000003,0
85,47,M,0.0,80,38489,0,0,Rent,20117,7/26/2015,Sunday,Local,1,0.0,6,Broker,0,6436.754874,5.0,Compact,12679.549,other,20990.92365,0
86,56,M,1.0,50,40249,1,1,Rent,15022,5/25/2016,Wednesday,Local,0,0.0,97,Broker,1,3236.910568,6.0,Large,17515.905880000002,red,24774.48582,0
87,38,F,0.0,85,36374,1,1,Own,50039,10/27/2016,Thursday,Highway,0,1.0,13,Phone,0,5712.193534,4.0,Medium,10703.44734,blue,26639.78322,0
88,45,M,0.0,87,38073,1,0,Own,80108,9/12/2016,Monday,Local,0,1.0,56,Broker,1,6423.487943,4.0,Large,15160.61597,blue,11338.34872,0
89,43,M,1.0,80,37625,0,0,Rent,85015,1/22/2015,Thursday,Local,4,0.0,75,Online,1,5397.932728,5.0,Compact,23945.79505,blue,19709.13324,0
90,51,M,1.0,77,39323,1,1,Rent,20132,7/2/2015,Thursday,Local,0,1.0,43,Broker,1,4541.777966,7.0,Large,21411.48919,other,30239.38092,0
91,43,M,1.0,86,37598,0,0,Rent,80022,1/23/2015,Friday,Parking Lot,0,0.0,1,Online,1,5450.058454,8.0,Large,11376.93008,silver,21021.76554,1
92,44,M,0.0,85,37842,1,1,Own,20139,10/13/2016,Thursday,Highway,0,0.0,60,Broker,1,4543.832076,2.0,Medium,26488.41072,red,28186.4015,0
93,37,F,1.0,78,36103,0,0,Own,85029,11/22/2015,Sunday,Local,1,0.0,12,Phone,1,4038.822649,3.0,Compact,20074.37241,other,10662.8524,0
94,60,F,1.0,85,40953,1,1,Own,15025,1/28/2015,Wednesday,Parking Lot,0,0.0,48,Broker,1,2892.531262,3.0,Compact,35355.37738,blue,23508.9872,0
95,32,M,1.0,89,34680,0,1,Own,80014,5/27/2015,Wednesday,Local,3,0.0,43,Broker,1,3635.132158,4.0,Compact,21377.89889,other,52667.48684,0
96,54,F,0.0,59,39882,1,1,Own,15049,6/27/2015,Saturday,Parking Lot,0,0.0,7,Broker,1,2558.650794,7.0,Medium,26331.91442,black,17038.403019999998,0
97,45,M,1.0,97,38043,1,1,Own,85074,7/20/2016,Wednesday,Local,1,0.0,50,Online,0,2887.822255,6.0,Medium,16829.500780000002,black,30009.683360000003,0
98,69,M,1.0,83,42343,1,1,Rent,20115,2/26/2015,Thursday,Local,4,0.0,79,Phone,1,3688.149479,4.0,Compact,13391.56681,gray,15435.69554,0
99,29,M,1.0,34,33670,1,1,Rent,20144,4/13/2015,Monday,Local,1,0.0,7,Phone,1,5179.645808,5.0,Large,18166.25089,white,28786.04677,0
100,48,M,1.0,66,38716,1,1,Rent,20146,1/19/2015,Monday,Parking Lot,5,0.0,96,Broker,1,5351.232935,8.0,Compact,27622.3003,blue,19467.291230000003,1
101,58,M,1.0,88,40633,1,0,Rent,20111,2/19/2016,Friday,Local,0,0.0,70,Online,1,8360.729846,5.0,Large,26561.22352,black,26135.17568,0
102,51,M,1.0,80,39309,0,1,Own,20165,1/19/2015,Monday,Highway,0,0.0,67,Phone,1,2883.120008,8.0,Compact,31236.45231,black,21891.56267,0
103,29,M,0.0,76,33682,1,0,Own,20116,10/25/2016,Tuesday,Local,0,0.0,54,Broker,0,4352.547407,1.0,Compact,27829.05741,gray,27795.66024,0
104,47,M,1.0,88,38509,1,0,Own,20129,12/7/2015,Monday,Parking Lot,0,0.0,63,Broker,1,5377.812368999999,2.0,Medium,32761.23106,black,14378.24105,0
105,41,F,0.0,77,37147,1,1,Own,80017,8/17/2016,Wednesday,Local,0,1.0,3,Broker,1,4027.876028,2.0,Large,21226.56715,gray,15855.69847,0
106,36,F,0.0,62,35839,0,1,Rent,20103,2/8/2015,Sunday,Parking Lot,0,1.0,94,Broker,1,3896.245476,4.0,Medium,17245.08874,silver,29420.56085,1
107,42,F,0.0,79,37376,0,0,Rent,50001,8/1/2016,Monday,Highway,1,0.0,25,Broker,1,3700.060169,5.0,Compact,18756.27936,white,42694.11873,1
108,38,F,0.0,84,36367,1,1,Own,85080,12/31/2015,Thursday,Local,1,0.0,5,Phone,1,5366.225704,7.0,Large,16705.638130000003,gray,23466.93846,0
109,37,F,1.0,68,36108,1,1,Rent,80042,9/20/2016,Tuesday,Local,0,0.0,99,Broker,1,3069.344195,3.0,Medium,24107.22266,blue,10910.68005,0
110,43,M,1.0,47,37597,0,1,Own,20134,12/8/2015,Tuesday,Parking Lot,0,1.0,99,Phone,0,5147.9629780000005,8.0,Large,36774.50673,white,18666.49509,0
111,35,M,1.0,59,35560,1,1,Own,80013,12/6/2015,Sunday,Local,2,0.0,68,Broker,1,4396.34822,4.0,Large,24000.43781,white,26003.32383,0
112,38,M,1.0,54,36378,0,1,Own,20113,12/28/2015,Monday,Local,0,0.0,23,Phone,1,3668.139867,9.0,Compact,32520.05847,white,33876.523760000004,0
113,26,M,0.0,54,32592,1,1,Rent,15050,12/13/2016,Tuesday,Parking Lot,0,0.0,13,Broker,1,6499.8843,4.0,Large,21681.17632,gray,26087.8011,0
114,44,M,1.0,83,37845,1,1,Own,50029,1/18/2016,Monday,Local,0,0.0,61,Online,1,3191.5858980000003,2.0,Medium,4175.194283,black,25605.21944,1
115,38,F,0.0,37,36363,1,0,Rent,85036,11/25/2016,Friday,Parking Lot,5,0.0,98,Phone,1,4042.334721,2.0,Large,10260.61685,gray,9453.179977,0
116,55,M,1.0,87,40047,0,0,Rent,50028,10/10/2015,Saturday,Parking Lot,0,1.0,6,Broker,0,2334.937791,4.0,Large,19400.59368,white,24326.00692,0
117,52,M,1.0,53,39516,0,0,Own,20103,11/7/2015,Saturday,Parking Lot,0,,43,Broker,0,4752.336111,5.0,Large,23939.56248,blue,25044.2011,0
118,57,M,1.0,82,40431,1,0,Rent,20138,1/23/2016,Saturday,Local,0,0.0,23,Phone,1,2531.688272,4.0,Large,23749.22367,white,39598.77693,0
119,34,F,1.0,93,35279,0,1,Own,15009,11/6/2016,Sunday,Highway,0,0.0,11,Online,1,6011.099666,6.0,Large,16185.19655,other,41155.49437,1
120,34,M,1.0,65,35269,1,1,Own,20139,12/8/2016,Thursday,Local,2,0.0,57,Broker,1,4257.790098,5.0,Large,13880.82324,gray,13219.08072,0
121,39,F,1.0,57,36638,1,1,Own,85048,6/16/2015,Tuesday,Highway,0,0.0,50,Phone,0,6969.2536310000005,3.0,Medium,20689.24713,blue,39026.58897,0
122,41,M,1.0,75,37123,1,1,Own,80013,9/21/2016,Wednesday,Parking Lot,0,0.0,13,Broker,1,1062.760051,8.0,Large,41184.80708,silver,54526.01372,0
123,58,M,1.0,72,40598,0,0,Own,15009,7/7/2015,Tuesday,Parking Lot,0,0.0,18,Broker,1,2120.940839,4.0,Large,37309.48806,other,8081.918199,0
124,61,F,1.0,86,41106,1,1,Rent,80004,1/18/2015,Sunday,Local,1,0.0,2,Online,1,6464.393217,7.0,Large,41869.16569,gray,29877.28075,0
125,53,M,1.0,77,39715,1,1,Own,80001,3/7/2016,Monday,Parking Lot,0,0.0,16,Broker,1,7900.831034999999,7.0,Compact,28384.984310000003,gray,13899.10979,0
126,52,F,1.0,76,39510,1,0,Own,20164,8/5/2015,Wednesday,Local,1,1.0,41,Online,0,3643.979917,2.0,Compact,13881.85867,silver,52882.29067,0
127,21,F,0.0,57,30451,0,0,Own,80015,5/18/2016,Wednesday,Parking Lot,0,0.0,21,Broker,0,4172.767465,5.0,Medium,25926.15317,red,45740.690310000005,0
128,33,M,0.0,85,34948,0,0,Own,20148,4/29/2016,Friday,Parking Lot,1,0.0,99,Broker,0,6901.82617,5.0,Compact,14874.69335,silver,22837.71026,0
129,30,F,1.0,90,34011,0,0,Rent,50009,12/6/2016,Tuesday,Highway,0,0.0,12,Phone,0,3884.904294,10.0,Medium,17669.1467,white,24132.403830000003,0
130,28,M,1.0,81,33329,1,0,Rent,15010,5/7/2015,Thursday,Highway,0,0.0,99,Broker,0,3495.014305,6.0,Large,15407.102669999998,black,17944.25565,1
131,46,M,0.0,31,38271,1,0,Rent,20138,7/13/2015,Monday,Local,0,0.0,92,Phone,0,2391.629873,2.0,Large,7750.377784,black,23306.99497,0
132,49,M,0.0,83,38918,1,1,Own,80004,5/19/2016,Thursday,Local,1,0.0,92,Broker,1,8747.823817,2.0,Large,16655.2899,other,47553.17602,0
133,39,F,0.0,78,36631,0,1,Own,85075,6/11/2015,Thursday,Local,0,0.0,2,Phone,1,5151.87477,5.0,Compact,21986.74237,other,26042.084430000003,1
134,29,F,0.0,57,33680,0,0,Own,20132,1/5/2015,Monday,Local,0,0.0,64,Broker,0,5527.342869,2.0,Large,22492.80178,red,14628.578630000002,1
135,35,M,0.0,75,35547,1,1,Own,85064,4/28/2016,Thursday,Parking Lot,2,0.0,91,Broker,1,5309.792474,2.0,Medium,53665.74809,other,27400.351130000003,0
136,52,M,1.0,79,39530,1,0,Rent,80040,3/1/2016,Tuesday,Local,0,1.0,41,Phone,1,5866.288039,8.0,Compact,17753.78458,gray,36326.10134,0
137,57,F,1.0,57,40438,1,1,Rent,50054,6/4/2015,Thursday,Parking Lot,2,0.0,28,Phone,1,7741.147445,10.0,Compact,3653.346777,other,39775.37855,0
138,25,F,1.0,73,32200,1,1,Rent,50020,9/1/2016,Thursday,Highway,1,1.0,94,Broker,1,6510.011989,4.0,Medium,21995.18842,red,16605.69595,0
139,40,M,1.0,90,36893,0,0,Rent,15006,5/31/2015,Sunday,Parking Lot,0,1.0,50,Broker,1,4717.849785,4.0,Large,7836.840902,silver,16778.93189,0
140,27,F,1.0,61,32965,1,1,Rent,50025,4/1/2015,Wednesday,Parking Lot,1,0.0,50,Phone,1,3867.055369,3.0,Large,35988.39518,red,10291.30103,1
141,20,F,1.0,51,29968,1,1,Rent,20149,10/27/2016,Thursday,Highway,0,0.0,100,Broker,0,8281.009756,4.0,Compact,25160.18797,gray,5067.53388,0
142,39,F,0.0,94,36644,1,0,Rent,80012,2/26/2015,Thursday,Parking Lot,1,0.0,95,Broker,1,3644.51601,6.0,Medium,38235.93264,gray,15515.7554,1
143,39,F,1.0,83,36640,1,1,Own,50013,10/4/2016,Tuesday,Highway,0,1.0,48,Broker,0,3613.311493,10.0,Compact,16452.262740000002,black,33911.39574,0
144,44,M,1.0,93,37834,1,0,Own,85077,2/27/2015,Friday,Local,3,0.0,45,Broker,1,1851.133917,4.0,Large,56042.0605,red,22683.85193,0
145,43,M,0.0,82,37599,1,0,Rent,50020,2/5/2016,Friday,Parking Lot,0,1.0,78,Broker,1,2967.835912,3.0,Large,39295.73388,gray,34459.54858,0
146,43,F,1.0,85,37630,0,1,Rent,80041,6/28/2016,Tuesday,Highway,0,0.0,4,Online,0,5458.849285,2.0,Compact,14472.51277,black,20758.26104,1
147,50,M,1.0,80,39113,1,0,Rent,20135,1/7/2015,Wednesday,Highway,0,0.0,4,Online,0,3332.511079,2.0,Medium,29223.686380000003,other,18857.436230000003,0
148,45,F,1.0,71,38065,1,0,Rent,20129,10/9/2015,Friday,Highway,0,0.0,50,Online,0,5108.367913,9.0,Compact,36525.45215,white,18288.28922,0
149,42,F,1.0,72,37384,1,0,Own,15057,1/14/2015,Wednesday,Local,0,0.0,88,Broker,0,7594.304695000001,9.0,Medium,12525.07678,white,37972.97645,0
150,47,F,0.0,82,38509,1,1,Own,15012,5/10/2016,Tuesday,Local,0,0.0,95,Broker,1,5496.648253,4.0,Medium,39013.56985,gray,11483.55911,1
151,43,M,1.0,66,37609,1,0,Rent,20148,10/21/2016,Friday,Local,1,1.0,53,Broker,1,2675.935684,2.0,Medium,30688.00495,blue,33409.199539999994,0
152,37,M,1.0,51,36107,0,0,Own,80007,4/30/2016,Saturday,Local,0,1.0,1,Phone,1,7601.222011,3.0,Compact,27495.3515,red,11000.17214,0
153,51,F,1.0,90,39331,1,1,Rent,80107,6/22/2015,Monday,Local,0,0.0,88,Phone,1,4142.68254,7.0,Medium,29381.00897,blue,15529.82401,0
154,53,F,1.0,80,39693,1,1,Own,50054,10/26/2015,Monday,Parking Lot,0,0.0,31,Broker,0,6906.958535,4.0,Large,10993.84614,blue,15982.39799,1
155,45,M,0.0,79,38056,1,1,Own,15045,6/21/2016,Tuesday,Local,2,0.0,71,Broker,1,4142.181073,7.0,Compact,15568.3292,black,27517.3681,1
156,29,F,1.0,59,33669,1,1,Rent,15012,9/1/2015,Tuesday,Local,0,0.0,83,Phone,0,2063.341945,4.0,Large,19468.98403,black,8152.00513,0
157,54,M,0.0,88,39897,1,0,Own,20116,3/19/2016,Saturday,Highway,0,0.0,14,Broker,0,1749.859186,5.0,Compact,20300.11216,silver,44514.78667,0
